target_file,locus,gene_symbol,entrez_id,mismatch,gene_type,analysis_type,distance
RASA2_CRISPRoff_guide4,chr3:+141487064,RASA2,5922,N/A,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr19:-2783281,SGTA,6449,45,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr4:+128061153,LARP1B,55132,49,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr19:+15332016,LOC124904643,124904643,49,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr22:+37823555,GALR3,8484,54,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr1:-202144160,ARL8A,127829,55,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr22:-20117662,TRMT2A,27037,59,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr16:+69106320,HAS3,3038,65,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr8:+144137801,HGH1,51236,67,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr20:+34990847,MIR499A,574501,68,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr20:+50795515,BCAS4,55653,72,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr14:-49634676,DNAAF2,55172,72,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr9:+36136651,GLIPR2,152007,77,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr9:-42568645,FAM88E,103908605,84,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr9:+62533051,FAM88F,103908604,84,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr9:+62898098,FAM88B,728673,84,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr9:-62376113,FAM88C,102724238,84,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr9:-39809346,GLIDR,389741,84,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr9:+42725734,XLOC_007697,105500239,84,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr4:+187995611,ZFP42,132625,85,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr9:-137441703,ENTPD8,377841,86,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr16:-87492237,ZCCHC14,23174,87,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr9:+38359926,LOC107987065,107987065,88,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr9:+136545653,NALT1,101928483,90,Promoter,offtarget,NA
RASA2_CRISPRoff_guide4,chr3:+141487064,RASA2,NA,0,proximal_gene,proximal,0
RASA2_CRISPRoff_guide4,chr3:+141487064,ZBTB38,NA,37271,proximal_gene,proximal,37271
