gene_symbol,target_file,locus,entrez_id,mismatch,gene_type,analysis_type,distance
ADCY5,CD81_pool,chr3:-123448225,111,43,Promoter,offtarget,NA
APAF1,CD81_pool,chr12:+98645161,317,43,Promoter,offtarget,NA
BAP1,CD81_pool,chr3:-52410644,8314,79,Promoter,offtarget,NA
C11orf21,CD81_pool,chr11:+2377313,NA,75263,Promoter,proximal,75263
CD81,CD81_pool,chr11:+2377313,NA,2136,Promoter,offtarget,2136
CD81-AS1,CD81_pool,chr11:+2377313,NA,320,Promoter,offtarget,320
CHD1,CD81_pool,chr5:-98928823,1105,69,Promoter,offtarget,NA
CHFR,CD81_pool,chr12:-132956062,55743,68,Promoter,offtarget,NA
GAB2,CD81_pool,chr11:-78417712,9846,67,Promoter,offtarget,NA
IGLL3P,CD81_pool,chr22:+25282926,91353,102,Promoter,offtarget,NA
LOC105373164,CD81_pool,chr1:+230426750,105373164,96,Promoter,offtarget,NA
LOC105376520,CD81_pool,chr11:+2377313,NA,2911,Promoter,proximal,2911
LOC124902611,CD81_pool,chr11:+2377313,NA,42180,Promoter,proximal,42180
LOC124903951,CD81_pool,chr17:+21457688,124903951,58,Promoter,offtarget,NA
LOC124904682,CD81_pool,chr19:-29093344,124904682,109,Promoter,offtarget,NA
MIR642A,CD81_pool,chr19:+45675134,693227,67,Promoter,offtarget,NA
NAGS,CD81_pool,chr17:+44005154,162417,31,Promoter,offtarget,NA
SMARCA4,CD81_pool,chr19:+10960957,6597,54,Promoter,offtarget,NA
SPEG,CD81_pool,chr2:+219435045,10290,91,Promoter,offtarget,NA
TAF9B,CD81_pool,chrX:-78139962,51616,93,Promoter,offtarget,NA
TRPM5,CD81_pool,chr11:+2377313,NA,66202,Promoter,proximal,66202
TSC22D4,CD81_pool,chr7:-100478938,81628,57,Promoter,offtarget,NA
TSPAN32,CD81_pool,chr11:+2377313,NA,76316,Promoter,proximal,76316
TSSC4,CD81_pool,chr11:+2377313,NA,22175,Promoter,proximal,22175
TTC12-DT,CD81_pool,chr11:-113314393,124902814,49,Promoter,offtarget,NA
ZNF605,CD81_pool,chr12:-132956062,100289635,68,Promoter,offtarget,NA
