target_file,locus,gene_symbol,entrez_id,mismatch,gene_type,analysis_type,distance
CD81_CRISPRoff_guide2,chr11:-2377353,CD81-AS1,101927682,N/A,Promoter,offtarget,NA
CD81_CRISPRoff_guide2,chr17:+44005154,NAGS,162417,31,Promoter,offtarget,NA
CD81_CRISPRoff_guide2,chr3:-123448225,ADCY5,111,43,Promoter,offtarget,NA
CD81_CRISPRoff_guide2,chr12:+98645161,APAF1,317,43,Promoter,offtarget,NA
CD81_CRISPRoff_guide2,chr7:-100478938,TSC22D4,81628,57,Promoter,offtarget,NA
CD81_CRISPRoff_guide2,chr17:+21457688,LOC124903951,124903951,58,Promoter,offtarget,NA
CD81_CRISPRoff_guide2,chr11:-78417712,GAB2,9846,67,Promoter,offtarget,NA
CD81_CRISPRoff_guide2,chr19:+45675134,MIR642A,693227,67,Promoter,offtarget,NA
CD81_CRISPRoff_guide2,chr12:-132956062,ZNF605,100289635,68,Promoter,offtarget,NA
CD81_CRISPRoff_guide2,chr12:-132956062,CHFR,55743,68,Promoter,offtarget,NA
CD81_CRISPRoff_guide2,chr11:-2377353,CD81-AS1,NA,360,Promoter,proximal,360
CD81_CRISPRoff_guide2,chr11:-2377353,CD81,NA,2176,Promoter,proximal,2176
CD81_CRISPRoff_guide2,chr11:-2377353,LOC105376520,NA,2951,Promoter,proximal,2951
CD81_CRISPRoff_guide2,chr11:-2377353,TSSC4,NA,22135,Promoter,proximal,22135
CD81_CRISPRoff_guide2,chr11:-2377353,LOC124902611,NA,42220,Promoter,proximal,42220
CD81_CRISPRoff_guide2,chr11:-2377353,TRPM5,NA,66162,Promoter,proximal,66162
CD81_CRISPRoff_guide2,chr11:-2377353,C11orf21,NA,75303,Promoter,proximal,75303
CD81_CRISPRoff_guide2,chr11:-2377353,TSPAN32,NA,76356,Promoter,proximal,76356
