target_file,locus,gene_symbol,entrez_id,mismatch,gene_type,analysis_type,distance
PTPN2_CRISPRoff_guide5,chr11:+120336420,ARHGEF12,23365,55,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr1:-53838229,NDC1,55706,55,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr1:+156920810,LRRC71,149499,59,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr19:-2051299,MKNK2,2872,66,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr19:-18941021,HOMER3,9454,66,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr15:-23562076,MIR4508,100616275,68,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr3:+37861746,CTDSPL,10217,68,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr1:-234609956,IRF2BP2,359948,68,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr2:+109128470,SH3RF3,344558,71,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr2:+98346412,CNGA3,1261,73,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr15:-101251483,CHSY1,22856,76,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr3:-180036866,PEX5L,51555,78,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr9:-136095723,NACC2,138151,80,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr2:+3575499,RPS7,6201,84,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr1:-54195687,CDCP2,200008,85,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr19:+12945823,RAD23A,5886,86,Promoter,offtarget,NA
PTPN2_CRISPRoff_guide5,chr18:+12884161,SEH1L,NA,62971,proximal_gene,proximal,62971
