gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,analysis_type,significance
ENSG00000196352.18,CD55,-5.288494422192224,4.528619861971434,-13.013520966800211,1.4373168867240423e-9,2.012099909724987e-5,4.513190575537003,target,TRUE
ENSG00000140416.26,TPM1,-0.6507401231173076,0.9453340653761276,-1.5618114141145245,0.13920419305894668,0.691024217917953,-4.383961008692167,offtarget,FALSE
ENSG00000152454.4,ZNF256,-0.6122777536829638,0.686496910449586,-1.128314542783173,0.2769317477754799,0.7787490448503734,-4.759003869093525,offtarget,FALSE
ENSG00000279873.3,LINC01126,-0.3843008544913734,1.1274648311569058,-0.8032288725598655,0.4344011797075544,0.8494117930130498,-5.031130057118556,offtarget,FALSE
ENSG00000111911.7,HINT3,0.33554408432889554,4.5284260430488015,1.962993459259724,0.06848873713196928,0.6382052283654557,-4.285642066399602,offtarget,FALSE
ENSG00000148773.14,MKI67,0.31957786141090194,8.081957007368038,2.2817650653587527,0.03754119463999863,0.6118118411770218,-3.9708009751047055,offtarget,FALSE
ENSG00000134905.17,CARS2,-0.2040335210851816,3.536477206409293,-0.8714504702293291,0.3972581621178686,0.8314490900262403,-5.467071686457068,offtarget,FALSE
ENSG00000162775.17,RBM15,-0.1515254510369895,6.25193407824433,-0.89228229333234,0.38634877852977023,0.8236687647909952,-5.787412278017981,offtarget,FALSE
ENSG00000084207.18,GSTP1,0.14358889258874688,7.992719492544169,0.7643294409447248,0.4573347014698669,0.8574212554085247,-5.9584088179009775,offtarget,FALSE
ENSG00000130779.22,CLIP1,0.1284096535905721,6.502636833739807,0.872570602257364,0.39666639384818536,0.8314490900262403,-5.812546118724329,offtarget,FALSE
ENSG00000182054.10,IDH2,-0.12722003424403197,7.379098561567661,-0.9123832218456236,0.3760150395158789,0.8196053882076633,-5.824575623396427,offtarget,FALSE
ENSG00000147475.17,ERLIN2,-0.11077561552742768,4.475924684286268,-0.5767969216410548,0.5726418168179729,0.8985704533524821,-5.82687813084616,offtarget,FALSE
ENSG00000108370.17,RGS9,0.02289977126413801,3.899612985202696,0.0891902362993124,0.9301314746280008,0.9885350947081288,-5.915049380462662,offtarget,FALSE
ENSG00000100603.14,SNW1,-0.00511587904161266,6.694278334756408,-0.0376689812553565,0.9704489504751314,0.9973763969995966,-6.201518280146283,offtarget,FALSE
ENSG00000154380.19,ENAH,0.00432089209114018,1.6606860135463537,0.01159702039698939,0.9909001419109618,0.998821179478196,-5.408172295505546,offtarget,FALSE
