target_file,locus,gene_symbol,entrez_id,mismatch,gene_type,analysis_type,distance
RASA2_CRISPRoff_guide1,chr3:+141487028,RASA2,5922,N/A,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr5:-140673232,DND1,373863,54,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr17:+81637060,TSPAN10,83882,60,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr17:+81927249,MILIP,92659,66,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr17:+81703562,SLC25A10,1468,68,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr17:+81703562,MRPL12,6182,68,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr6:-4136192,ECI2,10455,70,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr6:+135497951,AHI1-DT,100131814,72,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr4:-183504192,ING2-DT,389247,76,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr19:+797190,PTBP1,5725,81,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr11:+66278171,CNIH2,254263,82,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr2:-165794187,GALNT3,2591,83,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr3:+49021212,NDUFAF3,25915,89,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr3:+97972478,LOC124909398,124909398,91,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr15:-52112514,BCL2L10,10017,99,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chrX:-135521408,INTS6L-AS1,100874118,104,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr12:+121399869,RNF34,80196,113,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr15:-40874360,RHOV,171177,117,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr10:-110007428,ADD3-AS1,100505933,137,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr12:+111842699,MAPKAPK5,8550,141,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr15:-38564663,RASGRP1,10125,155,Promoter,offtarget,NA
RASA2_CRISPRoff_guide1,chr3:+141487028,RASA2,NA,0,proximal_gene,proximal,0
RASA2_CRISPRoff_guide1,chr3:+141487028,ZBTB38,NA,37235,proximal_gene,proximal,37235
